BannerID, FirstName, LastName, AcademicHabits, Persistence_Grit, AcademicConfidence, InterpersonalMaturity, ComfortwithSocialInteraction
1000000,Cat,Jones,3,1,1,3,1
1000001,Apple,Poptart,3,2,3,3,3
1000002,Horse,Green,2,2,1,3,2
1000003,Red,Blue,1,2,3,3,2
1000004,Tuna,Can,3,3,1,1,1
1000005,Key,Pumpkin,2,3,3,3,1
1000006,Oboe,Orange,3,2,2,1,1
1000007,Yam,Brown,1,3,2,3,3
1000008,Potato,Class,3,3,3,1,1
1000009,Celery,Bob,3,1,3,3,3
1000010,Dollar,Smith,1,2,1,2,2
1000011,Sport,Camry,1,2,1,2,1
1000012,Quest,Bread,2,2,2,3,2
1000013,Today,Tomorrow,3,3,2,3,1
1000014,Work,Doe,1,2,2,1,3
1000015,Phone,Half,1,3,3,3,3
1000016,Topic,Johnson,3,3,3,2,1
1000017,Typo,Habit,2,3,1,3,1
1000018,Dragon,Peanut,3,1,3,3,3
1000019,Herald,Share,3,3,3,2,2
1000020,Leg,Arm,2,1,2,3,2
1000021,Jelly,Nine,2,3,1,1,2
1000022,Soda,Fountain,2,1,2,1,3
1000023,Brain,Sandwich,2,3,2,2,2
1000024,Tomato,Color,1,3,3,3,2
1000025,Puppy,Whisker,2,3,3,1,3
1000026,Grass,Green,3,2,1,2,2
1000027,Yard,Green,2,1,3,2,2
1000028,Pickle,North,2,3,1,2,2
1000029,Spoon,Silver,3,1,1,2,1
1000030,World,Eater,1,2,2,1,2
1000031,Corn,Spider,1,1,3,3,1
1000032,Carrot,Jones,1,2,3,3,2
